Scientific_Name,en_uk,fr,es,nl,no
Nicator gularis,Eastern Nicator,Nicator à tête brune,Conquistador Oriental,Bruinkopnicator,østnikator
Nicator vireo,Yellow-throated Nicator,Nicator à gorge jaune,Conquistador Gorjiamarillo,Geelkeelnicator,gulstrupenikator
Nigrita canicapillus,Grey-headed Nigrita,Nigrette à calotte grise,Negrita Canosa,Grijskopnegervink,gråkappeastrild
Nilaus afer,Brubru,Brubru africain,Brubrú,Broebroe,brubru
Niltava grandis,Large Niltava,Grand Gobemouche,Papamoscas Grande,Kobaltniltava,storniltava
Niltava macgrigoriae,Small Niltava,Gobemouche de McGrigor,Papamoscas de Mcgrigor,Kleine Niltava,småniltava
Niltava sundara,Rufous-bellied Niltava,Gobemouche sundara,Papamoscas Sundara,Roodbuikniltava,rødbukniltava
Niltava vivida,Taiwan Vivid Niltava,Gobemouche de Taïwan,Papamoscas Vívido (vivida),Vivid Niltava (Taiwan),praktniltava
Ninox boobook,Southern Boobook,Ninoxe d'Australie,Nínox Australiano,Southern Boobook,boobookugle
Ninox connivens,Barking Owl,Ninoxe aboyeuse,Nínox Ladrador,Blafuil,bjeffeugle
Ninox ios,Cinnabar Boobook,Ninoxe rouilleuse,Nínox Bermejo,Roestbruine Valkuil,kanelfalkugle
Ninox japonica,Northern Boobook,Ninoxe boréale,Nínox Japonés,Noord-Aziatische Valkuil,nordfalkugle
Ninox novaeseelandiae,Morepork,Ninoxe boubouk,Nínox Maorí,Morepork,nattsvermerugle
Ninox obscura,Hume's Boobook,Ninoxe de Hume,Nínox Oscuro,Humes Valkuil,mørkfalkugle
Ninox philippensis,Luzon Boobook,Ninoxe des Philippines,Nínox de Luzón,Luzonvalkuil,filippinerfalkugle
Ninox scutulata,Brown Boobook,Ninoxe hirsute,Nínox Pardo,Zuid-Aziatische Valkuil,orientfalkugle
Ninox strenua,Powerful Owl,Ninoxe puissante,Nínox Robusto,Grote Valkuil,våkugle
Ninox theomacha,Papuan Boobook,Ninoxe brune,Nínox Papú,Bruine Valkuil,hekseugle
Nisaetus cirrhatus,Changeable Hawk-Eagle,Aigle huppé,Águila Variable,Kuifloze Kuifarend/Indische Kuifarend,vekselskogørn
Nisaetus nanus,Wallace's Hawk-Eagle,Aigle de Wallace,Águila de Wallace,Kleine Kuifarend,dvergskogørn
Nisaetus nipalensis,Mountain Hawk-Eagle,Aigle montagnard,Águila Montañesa,Aziatische Kuifarend,fjellskogørn
Noise,Noise,Noise,Noise,Noise,Noise
Nonnula brunnea,Brown Nunlet,Barbacou brun,Monjilla Canela,Bruine Trappist,brunnovise
Nonnula frontalis,Grey-cheeked Nunlet,Barbacou à joues grises,Monjilla Carigrís,Noordelijke Grijswangtrappist,gråkinnovise
Nonnula rubecula,Rusty-breasted Nunlet,Barbacou rufalbin,Monjilla Macurú,Roodborsttrappist,rødbrystnovise
Nonnula ruficapilla,Rufous-capped Nunlet,Barbacou à couronne rousse,Monjilla Coronada,Zuidelijke Grijswangtrappist,rustkronenovise
Northiella haematogaster,Greater Bluebonnet,Perruche à bonnet bleu,Perico Cariazul,Roodbuikparkiet,blåmaskeparakitt
Notharchus hyperrhynchus,White-necked Puffbird,Tamatia à front blanc,Buco Picogordo Occidental,Witnekbaardkoekoek,hvitpannedovenfugl
Notharchus macrorhynchos,Guianan Puffbird,Tamatia à gros bec,Buco Picogordo Oriental,Guyanabaardkoekoek,guyanadovenfugl
Notharchus ordii,Brown-banded Puffbird,Tamatia de Cassin,Buco Pechipardo,Bruinbandbaardkoekoek,brunbeltedovenfugl
Notharchus pectoralis,Black-breasted Puffbird,Tamatia à plastron,Buco Pechinegro,Zwartborstbaardkoekoek,svartbrystdovenfugl
Notharchus swainsoni,Buff-bellied Puffbird,Tamatia de Swainson,Buco de Swainson,Swainsons Baardkoekoek,rustbukdovenfugl
Notharchus tectus,Pied Puffbird,Tamatia pie,Buco Pío,Bonte Baardkoekoek,perledovenfugl
Nothocercus bonapartei,Highland Tinamou,Tinamou de Bonaparte,Tinamú Serrano,Bergtinamoe,bambustinamu
Nothocercus julius,Tawny-breasted Tinamou,Tinamou à tête rousse,Tinamú Cabecirrojo,Roodkoptinamoe,brunbrysttinamu
Nothocercus nigrocapillus,Hooded Tinamou,Tinamou à capuchon,Tinamú Cabecinegro,Zwartkaptinamoe,blyhettetinamu
Nothocrax urumutum,Nocturnal Curassow,Hocco nocturne,Paují Nocturno,Nachthokko,brunhokko
Nothoprocta cinerascens,Brushland Tinamou,Tinamou sauvageon,Tinamú Montaraz,Cordobatinamoe,busktinamu
Nothoprocta ornata,Ornate Tinamou,Tinamou orné,Tinamú Pisacca,Pisaccatinamoe,fjelltinamu
Nothoprocta pentlandii,Andean Tinamou,Tinamou des Andes,Tinamú Andino,Andestinamoe,andestinamu
Nothoprocta perdicaria,Chilean Tinamou,Tinamou perdrix,Tinamú Chileno,Chileense Tinamoe,chiletinamu
Nothura boraquira,White-bellied Nothura,Tinamou boraquira,Tinamú Ventriblanco,Witbuiknothura,hvitøyetinamu
Nothura darwinii,Darwin's Nothura,Tinamou de Darwin,Tinamú de Darwin,Darwins Nothura,darwintinamu
Nothura maculosa,Spotted Nothura,Tinamou tacheté,Tinamú Manchado,Gevlekte Nothura,flekktinamu
Notiomystis cincta,Stitchbird,Hihi de Nouvelle-Zélande,Hihi,Hihi,stitsjfugl
Notopholia corusca,Black-bellied Starling,Choucador à ventre noir,Estornino Ventrinegro,Zwartbuikglansspreeuw,svartbukglansstær
Nucifraga caryocatactes,Spotted Nutcracker,Cassenoix moucheté,Cascanueces Común,Notenkraker,nøttekråke
Nucifraga columbiana,Clark's Nutcracker,Cassenoix d'Amérique,Cascanueces Americano,Grijze Notenkraker,konglekråke
Numenius americanus,Long-billed Curlew,Courlis à long bec,Zarapito Americano,Amerikaanse Wulp,langnebbspove
Numenius arquata,Eurasian Curlew,Courlis cendré,Zarapito Real,Wulp,storspove
Numenius madagascariensis,Far Eastern Curlew,Courlis de Sibérie,Zarapito Siberiano,Siberische Wulp,østspove
Numenius minutus,Little Whimbrel,Courlis nain,Zarapito Chico,Kleine Regenwulp,dvergspove
Numenius phaeopus,Whimbrel,Courlis corlieu,Zarapito Trinador,Regenwulp,småspove
Numenius tahitiensis,Bristle-thighed Curlew,Courlis d'Alaska,Zarapito del Pacífico,Zuidzeewulp,alaskaspove
Numida meleagris,Helmeted Guineafowl,Pintade de Numidie,Pintada Común,Helmparelhoen,hjelmperlehøne
Nyctanassa violacea,Yellow-crowned Night Heron,Bihoreau violacé,Martinete Coronado,Geelkruinkwak,gulkronehegre
Nyctibius aethereus,Long-tailed Potoo,Ibijau à longue queue,Nictibio Colilargo,Wigstaartreuzennachtzwaluw,langhalepotu
Nyctibius bracteatus,Rufous Potoo,Rufous Potoo,Rufous Potoo,Rufous Potoo,Rufous Potoo
Nyctibius grandis,Great Potoo,Grand Ibijau,Nictibio Grande,Vale Reuzennachtzwaluw,storpotu
Nyctibius griseus,Common Potoo,Ibijau gris,Nictibio Urutaú,Grijze Reuzennachtzwaluw,fløytepotu
Nyctibius jamaicensis,Northern Potoo,Ibijau jamaïcain,Nictibio Jamaicano,Noordelijke Reuzennachtzwaluw,nordpotu
Nyctibius leucopterus,White-winged Potoo,Ibijau à ailes blanches,Nictibio Aliblanco,Witvleugelreuzennachtzwaluw,hvitvingepotu
Nycticorax nycticorax,Black-crowned Night Heron,Bihoreau gris,Martinete Común,Kwak,natthegre
Nyctidromus albicollis,Common Pauraque,Engoulevent pauraqué,Chotacabras Pauraque,Pauraque,pauraquenattravn
Nyctidromus anthonyi,Scrub Nightjar,Engoulevent d'Anthony,Chotacabras de Anthony,Ecuadornachtzwaluw,krattnattravn
Nyctiphrynus mcleodii,Eared Poorwill,Engoulevent aztèque,Chotacabras Prío,Mexicaanse Poorwill,dusknattravn
Nyctiphrynus ocellatus,Ocellated Poorwill,Engoulevent ocellé,Chotacabras Ocelado,Gevlekte Poorwill,plettnattravn
Nyctiphrynus rosenbergi,Choco Poorwill,Engoulevent du Choco,Chotacabras del Chocó,Chocópoorwill,choconattravn
Nyctiphrynus yucatanicus,Yucatan Poorwill,Engoulevent du Yucatan,Chotacabras Yucateco,Yucatánpoorwill,yucatánnattravn
Nyctipolus nigrescens,Blackish Nightjar,Engoulevent noirâtre,Chotacabras Negruzco,Roetnachtzwaluw,sotnattravn
Nyctiprogne leucopyga,Band-tailed Nighthawk,Engoulevent leucopyge,Añapero Colibandeado,Staartbandnachtzwaluw,dryadenatthauk
Nyctyornis amictus,Red-bearded Bee-eater,Guêpier à fraise,Abejaruco Barbirrojo,Roodbaardbijeneter,rødskjeggbieter
Nyctyornis athertoni,Blue-bearded Bee-eater,Guêpier à barbe bleue,Abejaruco Barbiazul,Blauwbaardbijeneter,blåskjeggbieter
Nymphicus hollandicus,Cockatiel,Calopsitte élégante,Cacatúa Ninfa,Valkparkiet,nymfekakadu
Nystalus chacuru,White-eared Puffbird,Tamatia chacuru,Buco Chacurú,Witoorbaardkoekoek,hvitøredovenfugl
Nystalus maculatus,Spot-backed Puffbird,Tamatia tamajac,Buco Durmilí,Vlekrug-baardkoekoek,flekkdovenfugl
Nystalus obamai,Western Striolated-Puffbird,Tamatia d'Obama,Buco Estriado Occidental,Obama's Baardkoekoek,terrafirmedovenfugl
Nystalus radiatus,Barred Puffbird,Tamatia barré,Buco Barrado,Gebandeerde Baardkoekoek,skjelldovenfugl
Nystalus striolatus,Eastern Striolated-Puffbird,Tamatia striolé,Buco Estriado Oriental,Gestreepte Baardkoekoek,stripedovenfugl
Ochetorhynchus andaecola,Rock Earthcreeper,Chilia des Andes,Bandurrita Roquera,Rotsaardkruiper,steinmarkløper
Ochetorhynchus melanurus,Crag Chilia,Chilia des rochers,Chiricoca,Klifchilia,klippeløper
Ochetorhynchus phoenicurus,Band-tailed Earthcreeper,Chilia rougequeue,Bandurrita Patagona,Bandstaartdoornkruiper,mørkhalemarkløper
Ochetorhynchus ruficaudus,Straight-billed Earthcreeper,Chilia de Meyen,Bandurrita Piquirrecta,Priemsnavelaardkruiper,ravinemarkløper
Ochthoeca cinnamomeiventris,Chestnut-bellied Chat-Tyrant,Pitajo à ventre brun,Pitajo Negro (cinnamomeiventris),Grijsrug-tapuittiran (cinnamomeiventris),skiferryggtyrann (cinnamomeiventris)
Ochthoeca diadema,Yellow-bellied Chat-Tyrant,Yellow-bellied Chat-Tyrant,Yellow-bellied Chat-Tyrant,Yellow-bellied Chat-Tyrant,Yellow-bellied Chat-Tyrant
Ochthoeca frontalis,Crowned Chat-Tyrant,Crowned Chat-Tyrant,Crowned Chat-Tyrant,Crowned Chat-Tyrant,Crowned Chat-Tyrant
Ochthoeca fumicolor,Brown-backed Chat-Tyrant,Pitajo à dos brun,Pitajo Dorsipardo,Bruinrugtapuittiran,paramotyrann
Ochthoeca jelskii,Jelski's Chat-Tyrant,Jelski's Chat-Tyrant,Jelski's Chat-Tyrant,Jelski's Chat-Tyrant,Jelski's Chat-Tyrant
Ochthoeca leucophrys,White-browed Chat-Tyrant,Pitajo à sourcils blancs,Pitajo Gris,Witbrauwtapuittiran,hvitbryntyrann
Ochthoeca oenanthoides,d'Orbigny's Chat-Tyrant,Pitajo de d'Orbigny,Pitajo Canela,D'Orbigny's Tapuittiran,punatyrann
Ochthoeca pulchella,Golden-browed Chat-Tyrant,Golden-browed Chat-Tyrant,Golden-browed Chat-Tyrant,Golden-browed Chat-Tyrant,Golden-browed Chat-Tyrant
Ochthoeca rufipectoralis,Rufous-breasted Chat-Tyrant,Pitajo à poitrine rousse,Pitajo Pechirrufo,Roodborsttapuittiran,rødbrysttyrann
Ochthornis littoralis,Drab Water Tyrant,Moucherolle riverain,Mosquerito Guardarrios,Vale Tapuittiran,elvetyrann
Ocreatus underwoodii,White-booted Racket-tail,Haut-de-chausses à palettes,Colibrí de Raquetas Faldiblanco,Booted Racket-tail (White-booted),vimpelkolibri (underwoodii gr.)
Ocyceros birostris,Indian Grey Hornbill,Calao de Gingi,Cálao Gris Indio,Wigstaarttok,indiahornfugl
Ocyceros gingalensis,Sri Lanka Grey Hornbill,Calao de Ceylan,Cálao Gris Cingalés,Ceylontok,singaleserhornfugl
Ocyceros griseus,Malabar Grey Hornbill,Calao gris,Cálao Gris Malabar,Malabartok,malabarhornfugl
Ocyphaps lophotes,Crested Pigeon,Colombine longup,Paloma Bronce Crestada,Spitskuifduif,toppdue
Odocoileus virginianus,White-tailed Deer,White-tailed Deer,White-tailed Deer,White-tailed Deer,White-tailed Deer
Odontophorus atrifrons,Black-fronted Wood-Quail,Tocro à front noir,Corcovado Carinegro,Zwartmaskertandkwartel,masketannvaktel
Odontophorus balliviani,Stripe-faced Wood-Quail,Tocro de Ballivian,Corcovado Enmascarado,Vlekbuiktandkwartel,diamanttannvaktel
Odontophorus capueira,Spot-winged Wood-Quail,Tocro uru,Corcovado Urú,Grijze Tandkwartel,gråtannvaktel
Odontophorus columbianus,Venezuelan Wood-Quail,Tocro du Venezuela,Corcovado Venezolano,Venezuelatandkwartel,venezuelatannvaktel
Odontophorus erythrops,Rufous-fronted Wood-Quail,Tocro à front roux,Corcovado Frentirrojo,Bruinmaskertandkwartel,rustpannetannvaktel
Odontophorus gujanensis,Marbled Wood-Quail,Tocro de Guyane,Corcovado Común,Gemarmerde Tandkwartel,bruntannvaktel
Odontophorus guttatus,Spotted Wood-Quail,Tocro tacheté,Corcovado Goteado,Gevlekte Tandkwartel,flekktannvaktel
Odontophorus hyperythrus,Chestnut Wood-Quail,Tocro marron,Corcovado Castaño,Witoortandkwartel,kastanjetannvaktel
Odontophorus leucolaemus,Black-breasted Wood-Quail,Tocro à poitrine noire,Corcovado Pechinegro,Zwartborsttandkwartel,svartbrysttannvaktel
Odontophorus melanonotus,Dark-backed Wood-Quail,Tocro à dos noir,Corcovado Dorsioscuro,Zwartrugtandkwartel,mørkryggtannvaktel
Odontophorus melanotis,Black-eared Wood-Quail,Tocro à face noire,Corcovado Orejinegro,Zwartoortandkwartel,svartkinntannvaktel
Odontophorus speciosus,Rufous-breasted Wood-Quail,Tocro à poitrine rousse,Corcovado Pechirrufo,Bruinborsttandkwartel,rustbrysttannvaktel
Odontophorus stellatus,Starred Wood-Quail,Tocro étoilé,Corcovado Estrellado,Stippelborsttandkwartel,stjernetannvaktel
Odontophorus strophium,Gorgeted Wood-Quail,Tocro à miroir,Corcovado Gorjiblanco,Witkeeltandkwartel,kragetannvaktel
Odontorchilus branickii,Grey-mantled Wren,Troglodyte de Branicki,Cucarachero Dorsigrís,Grijsrugwinterkoning,gråryggsmett
Odontorchilus cinereus,Tooth-billed Wren,Troglodyte denté,Cucarachero Dentado,Amazonewinterkoning,sotryggsmett
Oecanthus celerinictus,Fast-calling Tree Cricket,Fast-calling Tree Cricket,Fast-calling Tree Cricket,Fast-calling Tree Cricket,Fast-calling Tree Cricket
Oecanthus exclamationis,Davis's Tree Cricket,Davis's Tree Cricket,Davis's Tree Cricket,Davis's Tree Cricket,Davis's Tree Cricket
Oecanthus fultoni,Snowy Tree Cricket,Snowy Tree Cricket,Snowy Tree Cricket,Snowy Tree Cricket,Snowy Tree Cricket
Oecanthus nigricornis,Blackhorned Tree Cricket,Blackhorned Tree Cricket,Blackhorned Tree Cricket,Blackhorned Tree Cricket,Blackhorned Tree Cricket
Oecanthus niveus,Narrow-winged Tree Cricket,Narrow-winged Tree Cricket,Narrow-winged Tree Cricket,Narrow-winged Tree Cricket,Narrow-winged Tree Cricket
Oecanthus pini,Pine Tree Cricket,Pine Tree Cricket,Pine Tree Cricket,Pine Tree Cricket,Pine Tree Cricket
Oecanthus quadripunctatus,Four-spotted Tree Cricket,Four-spotted Tree Cricket,Four-spotted Tree Cricket,Four-spotted Tree Cricket,Four-spotted Tree Cricket
Oena capensis,Namaqua Dove,Tourtelette masquée,Tortolita Rabilarga,Maskerduif,maskedue
Oenanthe deserti,Desert Wheatear,Traquet du désert,Collalba Desértica,Woestijntapuit,ørkensteinskvett
Oenanthe familiaris,Familiar Chat,Traquet familier,Colinegro Familiar,Roodstaartspekvreter,ruststjert
Oenanthe fusca,Brown Rock Chat,Traquet bistré,Colinegro Indio,Bruine Rotsspekvreter,brunskvett
Oenanthe hispanica,Western Black-eared Wheatear,Traquet oreillard,Collalba Rubia Occidental,Westelijke Blonde Tapuit,middelhavssteinskvett
Oenanthe isabellina,Isabelline Wheatear,Traquet isabelle,Collalba Isabel,Izabeltapuit,isabellasteinskvett
Oenanthe leucopyga,White-crowned Wheatear,Traquet à tête blanche,Collalba Yebélica,Witkruintapuit,hvitkronesteinskvett
Oenanthe leucura,Black Wheatear,Traquet rieur,Collalba Negra,Zwarte Tapuit,svartsteinskvett
Oenanthe melanoleuca,Eastern Black-eared Wheatear,Traquet noir et blanc,Collalba Rubia Oriental,Oostelijke Blonde Tapuit,tyrkersteinskvett
Oenanthe melanura,Blackstart,Traquet à queue noire,Colinegro Común,Zwartstaart,svartstjert
Oenanthe oenanthe,Northern Wheatear,Traquet motteux,Collalba Gris,Tapuit,steinskvett
Oenanthe pileata,Capped Wheatear,Traquet du Cap,Collalba Capirotada,Aardtapuit,beltesteinskvett
Oenanthe pleschanka,Pied Wheatear,Traquet pie,Collalba Pía,Bonte Tapuit,svartstrupesteinskvett
Oenanthe scotocerca,Brown-tailed Chat,Traquet à queue brune,Colinegro Pardo,Bruinstaart,brunstjert
Ognorhynchus icterotis,Yellow-eared Parrot,Conure à joues d'or,Aratinga Orejigualda,Geeloorparkiet,guløreparakitt
Oncostoma cinereigulare,Northern Bentbill,Bec-en-arc cendré,Mosquerito Piquicurvo Norteño,Mexicaanse Krombektiran,nordbuetyrann
Oncostoma olivaceum,Southern Bentbill,Bec-en-arc de Lawrence,Mosquerito Piquicurvo Sureño,Colombiaanse Krombektiran,sørbuetyrann
Oneillornis lunulatus,Lunulated Antbird,Fourmilier lunulé,Hormiguero Lunulado,Ucayalimiervogel,loretomaurvokter
Oneillornis salvini,White-throated Antbird,Fourmilier de Salvin,Hormiguero Gorjiblanco,Salvins Miervogel,gittermaurvokter
Onychognathus morio,Red-winged Starling,Rufipenne morio,Estornino Alirrojo,Roodvleugelspreeuw,rødvingestær
Onychognathus nabouroup,Pale-winged Starling,Rufipenne nabouroup,Estornino Naburup,Vaalvleugelspreeuw,blekvingestær
Onychognathus tenuirostris,Slender-billed Starling,Rufipenne à bec fin,Estornino Picofino,Kaneelvleugelspreeuw,smalnebbstær
Onychognathus tristramii,Tristram's Starling,Rufipenne de Tristram,Estornino de Tristram,Tristrams Spreeuw,klippestær
Onychognathus walleri,Waller's Starling,Rufipenne de Waller,Estornino de Waller,Wallers Spreeuw,fjellskogstær
Onychoprion aleuticus,Aleutian Tern,Sterne des Aléoutiennes,Charrán Aleutiano,Aleoetenstern,beringterne
Onychoprion anaethetus,Bridled Tern,Sterne bridée,Charrán Embridado,Brilstern,tøyleterne
Onychoprion fuscatus,Sooty Tern,Sterne fuligineuse,Charrán Sombrío,Bonte Stern,sotterne
Onychoprion lunatus,Grey-backed Tern,Sterne à dos gris,Charrán Lunado,Fijistern,polynesiaterne
Onychorhynchus coronatus,Tropical Royal Flycatcher,Porte-éventail roi,Mosquero Real,Amazone-kroontiran,krontyrann
Opisthocomus hoazin,Hoatzin,Hoazin huppé,Hoazín,Hoatzin,hoatzin
Oporornis agilis,Connecticut Warbler,Paruline à gorge grise,Reinita de Connecticut,Connecticutzanger,markparula
Orchelimum agile,Agile Meadow Katydid,Agile Meadow Katydid,Agile Meadow Katydid,Agile Meadow Katydid,Agile Meadow Katydid
Orchelimum concinnum,Stripe-faced Meadow Katydid,Stripe-faced Meadow Katydid,Stripe-faced Meadow Katydid,Stripe-faced Meadow Katydid,Stripe-faced Meadow Katydid
Orchelimum pulchellum,Handsome Meadow Katydid,Handsome Meadow Katydid,Handsome Meadow Katydid,Handsome Meadow Katydid,Handsome Meadow Katydid
Orchesticus abeillei,Brown Tanager,Tangara brun,Tangara Parda,Vostangare,bruntanagar
Oreocharis arfaki,Tit Berrypecker,Oréochare des Arfak,Picabayas de las Arfak,Meesbessenpikker,meisebærfugl
Oreoica gutturalis,Crested Bellbird,Carillonneur huppé,Silbador Campanillero,Kuifdikkop,bjelleplystrer
Oreolais pulcher,Black-collared Apalis,Apalis à col noir,Apalis Cuellinegro,Ornaatapalis,rustsideapalis
Oreolais ruwenzorii,Rwenzori Apalis,Apalis du Rwenzori,Apalis del Ruwenzori,Ruwenzoriapalis,rwenzoriapalis
Oreomystis bairdi,Akikiki,Akikiki de Kauai,Akikiki de Kauai,Kauaikruiper,akikiki
Oreophasis derbianus,Horned Guan,Oréophase cornu,Pavón Cornudo,Hoorngoean,hornhokko
Oreopholus ruficollis,Tawny-throated Dotterel,Pluvier oréophile,Chorlito Cabezón,Andesplevier,rusthalslo
Oreopsar bolivianus,Bolivian Blackbird,Carouge de Bolivie,Tordo Boliviano,Andestroepiaal,boliviatrupial
Oreortyx pictus,Mountain Quail,Colin des montagnes,Colín Serrano,Bergkwartel,spirvaktel
Oreoscoptes montanus,Sage Thrasher,Moqueur des armoises,Cuitlacoche de las Artemisas,Bergspotlijster,salviespottefugl
Oreoscopus gutturalis,Fernwren,Northielle des fougères,Acantiza de Helechal,Zwartkeelstruiksluiper,bregnekrattsmett
Oreothlypis gutturalis,Flame-throated Warbler,Paruline embrasée,Reinita Flamígera,Vuurkeelzanger,flammeparula
Oreothlypis superciliosa,Crescent-chested Warbler,Paruline à croissant,Reinita Cejuda,Ornaatzanger,halvmåneparula
Oreothraupis arremonops,Tanager Finch,Tohi élégant,Cerquero Tangarino,Tangarestruikgors,tanagarspurv
Oreotrochilus estella,Andean Hillstar,Colibri d'Estelle,Colibrí Puneño,Estellabergnimf (estella/bolivianus),andesoreade
Oressochen jubatus,Orinoco Goose,Ouette de l'Orénoque,Ganso del Orinoco,Orinocogans,amazongås
Oressochen melanopterus,Andean Goose,Ouette des Andes,Cauquén Guayata,Andesgans,andesgås
Oriolus auratus,African Golden Oriole,Loriot doré,Oropéndola Africana,Afrikaanse Wielewaal,gullpirol
Oriolus brachyrynchus,Western Black-headed Oriole,Loriot à tête noire,Oropéndola Cabecinegra,Blauwvleugelwielewaal,jungelpirol
Oriolus chinensis,Black-naped Oriole,Loriot de Chine,Oropéndola China,Chinese Wielewaal,svartnakkepirol
Oriolus chlorocephalus,Green-headed Oriole,Loriot à tête verte,Oropéndola Cabeciverde,Groenkopwielewaal,grønnhodepirol
Oriolus cruentus,Javan Oriole,Loriot ensanglanté,Oropéndola Ensangrentada,Maleise Bloedwielewaal,rødbrystpirol
Oriolus flavocinctus,Green Oriole,Loriot verdâtre,Oropéndola Verdosa,Mangrovewielewaal,grønnpirol
Oriolus kundoo,Indian Golden Oriole,Loriot indien,Oropéndola India,Indiase Wielewaal,indiapirol
Oriolus larvatus,African Black-headed Oriole,Loriot masqué,Oropéndola Enmascarada,Maskerwielewaal,savannepirol
